01/01/2016,Ano Novo
09/02/2016,Carnaval
25/03/2016,Sexta-feira da Paixão
27/03/2016,Páscoa
21/04/2016,Tiradentes
01/05/2016,Dia do Trabalho
26/05/2016,Corpus Christi
07/09/2016,Independência do Brasil
12/10/2016,Nossa Senhora Aparecida
02/11/2016,Finados
15/11/2016,Proclamação da República
25/12/2016,Natal
05/08/2016,Feriado municipal
22/08/2016,Feriado municipal
28/08/2016,Feriado municipal
15/09/2016,Feriado municipal
